id	summary	status	owner	type	component	version
2779	datastructures.MergeDict needs a copy() method	closed	adrian	enhancement	Core (Other)	master
2770	"[patch] django.contrib.auth.handlers.modpython doesn't send signals.request_*, leaks db connections"	closed	mtredinnick	defect	Contrib apps	master
2765	MySQL with utf8_bin collation for case-sensitive comparison goodness requires MySQLdb 1.2.1	closed	adrian	defect	Core (Other)	master
2760	[patch] Admin interface doesn't handle negative FloatFields	closed	adrian	defect	contrib.admin	master
2757	[patch] new-admin changes for manipulators are not being used in documentation	closed	jacob	defect	Documentation	master
2756	[patch] allow get_object_or_404 and get_list_or_404 shortcuts to be passed Manager objects	closed	adrian	enhancement	Core (Other)	master
2755	Bug in postgresql connector	closed	adrian	defect	"Database layer (models, ORM)"	master
2754	Admin panel broken: module object has no attribute urlpatterns	closed	adrian	defect	contrib.admin	master
2753	Signals are picky about how senders are imported	closed	adrian	defect	Core (Other)	master
2751	ManyToManyField in models with edit_inline breaks the admin	closed	adrian	defect	contrib.admin	master
2749	[patch] Deleting object with generic relation does not work with one to one	closed	adrian	defect	Core (Other)	master
2747	[patch] send X-Headers for Doc Bookmarklets to logged in users	closed	adrian	enhancement	contrib.admin	master
2745	[patch] make modpython error handler not barf on errors	closed	adrian	defect	Core (Other)	master
2743	[patch] Extension of the {% cycle %} tag	closed	mtredinnick	enhancement	Template system	master
2742	[patch] core.handlers.wsgi.py doesn't properly handle blank CONTENT LENGTH with patch	closed	adrian	defect	Core (Other)	master
2740	Specifying an order_with_respect_to for a self referential one to many relationship fails	closed	Gulopine	defect	Core (Other)	master
2737	DB API and Model Interface don't agree on meaning of None	closed	adrian	enhancement	"Database layer (models, ORM)"	master
2734	"Test framework doesn't install _(), maybe?"	closed	adrian	defect	Testing framework	master
2732	[patch] Fix FastCGI documentation in the shared-hosting case	closed	jacob	enhancement	Documentation	master
2731	PasswordChangeForm class is not ready for translation	closed	hugo	defect	Translations	master
2730	PasswordResetForm.isValidUserEmail is not ready for translation	closed	hugo	defect	Translations	master
2729	[patch] sqlinitialdata files with dos line endings error out on Gnu/Linux	closed	adrian	defect	"Database layer (models, ORM)"	master
2727	[patch] is not JSON serializable	closed	adrian	defect	Validators	master
2724	edit_inline ... foreignkey(core=True) bug	closed	nobody	defect	contrib.admin	master
2723	yes/no option for BooleanField	closed	shanx	enhancement	contrib.admin	master
2718	filters in auth.models not visible in admin-interface	closed	adrian	defect	contrib.admin	master
2717	edit_inline interaction with auto_now_add on update raising an exception	closed	adrian	defect	contrib.admin	master
2715	Uploads from Flash 8 cannot be parsed in Python 2.3	closed	adrian	defect	Core (Other)	master
2713	Sitemap Index with Cache gives a NoReverseMatch exception	closed	aaugustin	Bug	contrib.sitemaps	master
2710	can't see raw sql queries even with debug = True	closed	adrian	defect	"Database layer (models, ORM)"	master
2705	[patch] Add optional FOR UPDATE clause to QuerySets	closed	brunobraga	New feature	"Database layer (models, ORM)"	master
2699	[patch] Quote missing in mysql/introspection.py	closed	adrian	defect	"Database layer (models, ORM)"	master
2698	Custom default managers interfere with delete operations	closed	mtredinnick	defect	"Database layer (models, ORM)"	master
2696	[per-object-permissions] altering per-object permissions always raises Permission Denied	closed	clong	defect	contrib.admin	master
2689	[patch] diffsettings show nothing	closed	adrian	defect	Core (Management commands)	master
2688	failed save() with postgresql sometimes doesn't throw error until next statement (which is 'set time zone')	closed	zefciu	Bug	"Database layer (models, ORM)"	master
2685	"[patch] Blank USStateField data with blank=True becomes None, breaks INSERTs/UPDATEs"	closed	adrian	defect	Validators	master
2684	[patch] Backwards relations (ie. xxx_set) across different apps needs voodoo magic to work	closed	oggie_rob	defect	Core (Other)	master
2678	[patch] Move the list of profanities for the hasNoProfanities validator to the settings file	closed	adrian	defect	Validators	master
2675	using timeuntil template filter on a past date results in random number of milliseconds	closed	nickefford	defect	Template system	master
2674	[patch] entering an invalid day of month for DateField and DateTimeField fields results in NULL value	closed	adrian	defect	contrib.admin	master
2671	Gzip compression of Sitemap?	closed	adrian	enhancement	Contrib apps	master
2669	Test system cannot differentiate between missing tests.py and import error in tests.py	closed	russellm	defect	Testing framework	master
2660	FloatField cant be edited in admin.	closed	adrian	defect	contrib.admin	master
2659	[patch] get_object_or_none shortcut	closed	adrian	enhancement	"Database layer (models, ORM)"	master
2653	multiple manytomanyfield on self causes complaint in manage.py	closed	russellm	defect	Core (Other)	master
2651	ForeignKey search/filter/autocomplete widget	new	nobody	New feature	contrib.admin	master
2650	XML Serialization of None TextFields does not use the <None/> tag	closed	adrian	defect	Core (Other)	master
2645	[patch] template error handler has an error	closed	adrian	defect	Template system	master
2643	[patch] sitemap broken after renaming to sitemaps	closed	adrian	defect	Contrib apps	master
2641	"Having a ""unique"" field inside a Model with a ForeignKey breaks the admin UI"	closed	adrian	defect	contrib.admin	master
2640	[patch] django.forms.CheckboxField should be able to use is_required	closed	adrian	defect	Validators	master
2638	[patch] default ForeignKey field results in terrible scaling perfomance	closed	mtredinnick	defect	Validators	master
2636	[patch] Allowed single quotes in template filter parameters	closed	nobody	enhancement	Template system	master
2635	[patch] Updates for MySQL backend	closed	mtredinnick	enhancement	"Database layer (models, ORM)"	master
2633	django.utils.dateformat.DateFormat.O() returns wrong value	closed	nobody	defect	Core (Other)	master
2630	[patch] custom authentication with models.Model in django.contrib.auth.backends	closed	erob@¡­	enhancement	Contrib apps	master
2629	[patch] permission_required for auth.decorators	closed	adrian	enhancement	Contrib apps	master
2624	Doc string misleading in contrib.auth Permission model.	closed	adrian	defect	Contrib apps	master
2623	[patch] Minimal kk and tr language support	closed	hugo	enhancement	Internationalization	master
2622	[patch] [per-object-permissions] has_perm breaks with anonymous users if an object is passed	closed	clong	defect	Contrib apps	master
2618	[patch] Added the ability for Site objects to have profiles.	closed	nobody	New feature	contrib.sites	master
2613	[patch] memory error in upload big sized file resolved.	closed	adrian	defect	Core (Other)	master
2612	Fix admin formatting when help_text used with multiple fields on the same line	closed	xian	defect	contrib.admin	master
2611	XML serialization does not handle null datetime fields	closed	adrian	defect	"Database layer (models, ORM)"	master
2610	Docs on auth context processor are incorrect	closed	jacob	defect	Documentation	master
2609	CurrentSiteManager needs models.Manager() for admin to function.	closed	adrian	defect	contrib.admin	master
2604	compile-messages.py fails on win32	closed	hugo	defect	Internationalization	master
2594	Template system should handle whitespace better	closed	jshedd	Bug	Template system	master
2591	manage.py inspectdb causes exception on postgresql_psycopg2 backend	closed	adrian	defect	django-admin.py inspectdb	master
2587	[patch] unnecessary escaping of fields in admin_doc templates	closed	adrian	defect	contrib.admin	master
2585	no Syndication feeds (RSS and Atom) codepage select (some similar to #2584)	closed	adrian	defect	contrib.syndication	master
2584	no MySQL codepage select	closed	adrian	defect	"Database layer (models, ORM)"	master
2583	can't use ForeignKey in list view (class Admin: list_display)	closed	nobody	defect	contrib.admin	master
2582	"verbose_name can't contain quote (' "") symbols"	closed	adrian	defect	contrib.admin	master
2581	[patch] flatpages do not call populate_xheaders	closed	adrian	enhancement	Contrib apps	master
2578	"[patch] Using a non-field in ""admin.list_display_links"" raises misleading exception"	closed	adrian	defect	contrib.admin	master
2577	[patch] validators.py: isSlug(): user message without gettext	closed	adrian	defect	Validators	master
2574	"[patch] object_list passes in list of page numbers, the first and last object numbers and accepts lists as well as querysets"	closed	adrian	enhancement	Generic views	master
2573	Relating two models to the same model using generic relations with the same parameters causes conflicts	closed	adrian	defect	"Database layer (models, ORM)"	master
2572	[patch] settings.txt should list all languages	closed	jacob	defect	Documentation	master
2571	"SyntaxError working through ""writing 1st django app pt 1"" tutorial"	closed	adrian	defect	Core (Other)	master
2569	[patch] Admin page Foreign Key improvements	closed	nobody	enhancement	contrib.admin	master
2568	[patch] Documentation for permalink()	closed	adrian	enhancement	Documentation	master
2567	"cache_page works as wrapper function, not as decorator"	closed	jacob	defect	Core (Cache system)	master
2566	Setting TEMPLATE_STRING_IF_INVALID = 'notempty'  breaks admin user creation	closed	adrian	defect	contrib.admin	master
2564	urlresolvers.reverse broken when reversing decorated views	closed	jacob	defect	Core (Cache system)	master
2563	[patch] Full introspection functionality for ado_mssql backends	closed	adrian	defect	"Database layer (models, ORM)"	master
2559	[patch] Operators for search_fields	closed	adrian	enhancement	contrib.admin	master
2557	[patch] serve media files from INSTALL_APP and sync them into MEDIA_ROOT	closed	adrian	enhancement	Contrib apps	master
2553	Generic views should support serialization	closed	jacob	enhancement	Generic views	master
2550	Allow a Backend to Globally Fail Authentication	closed	aashu_dwivedi	New feature	contrib.auth	master
2549	django.db.models.fill_table_cache will dead loop if with circular Foreign Keys	closed	nobody	defect	"Database layer (models, ORM)"	master
2547	"""blank=True"" and ""default"" don't work correctly when create_object page doesn't submit field"	closed	adrian	defect	"Database layer (models, ORM)"	master
2542	Russian translation with fixed	closed	adrian	defect	contrib.admin	master
2540	[patch] one more i18n string for admin/views/doc	closed	hugo	enhancement	Internationalization	master
2537	add *args support to filters (or provide a proper error message)	closed	nobody	enhancement	Template system	master
2534	[Patch] Enable FileField/ImageField to be used as core field	closed	nobody	defect	Core (Other)	master
2533	[patch] malformed xml in admin template edit_inline_tabular.html	closed	adrian	defect	contrib.admin	master
2532	[patch] made media_url accessibly thru context_processor	closed	adrian	enhancement	Core (Other)	master
2531	"Don't add ""s"" in Czech translation"	closed	hugo	defect	Internationalization	master
2529	[patch] admin/doc/views throws TypeError	closed	adrian	defect	contrib.admin	master
2528	the time default filter is broken for midnight time value (always returns '')	closed	adrian	defect	Template system	master
2527	view missing from django.contrib.admin.views.doc	closed	adrian	defect	Contrib apps	master
2526	manage.py sqlsequencereset doesn't work with empty tables.	closed	adrian	defect	Core (Management commands)	master
2524	[patch] generic create_update lacks use of i18n	closed	hugo	defect	Internationalization	master
2523	[patch] allow secure flag on session cookies	closed	adrian	enhancement	Contrib apps	master
2521	"When I changed Language_Code = 'zh-cn', something wrong"	closed	hugo	defect	Internationalization	master
2515	[patch] json serializer don't pass options to simplejson.dump	closed	adrian	defect	Core (Other)	master
2512	[patch] Do not fail on update of a primary-key only table	closed	adrian	defect	"Database layer (models, ORM)"	master
2508	[patch] custom edit_inline classes aren't used	closed	adrian	defect	contrib.admin	master
2507	[patch] LDAPBackend in django/contrib/auth/backends.py	closed	nobody	enhancement	Contrib apps	master
2506	[patch] more i18n for admin_doc	closed	adrian	enhancement	contrib.admin	master
2505	[patch] links in admin_doc for models won't work	closed	adrian	defect	contrib.admin	master
2504	ConditionalGetMiddleware causes Content-Length to be 0 on HttpResponse with fileobject	closed	aaugustin	Bug	Core (Other)	master
2501	Oracle backend: only single LONG is allowed in tables	closed	adrian	defect	"Database layer (models, ORM)"	master
2500	[patch] admin popup window stays open after adding and saving an item that has a primary_key=True field	closed	adrian	defect	contrib.admin	master
2499	Sessions problem with GMT settings...	closed	adrian	enhancement	Contrib apps	master
2496	select_related will cause table multiple times in FROM clause if table already in extra()	closed	nobody	defect	"Database layer (models, ORM)"	master
2495	db.models.TextField cannot be marked unique when using mysql backend	closed	Honza_Kral	Bug	"Database layer (models, ORM)"	master
2493	"Error ""reset""ing app with self-referencing ForeignKey"	closed	nobody	defect	"Database layer (models, ORM)"	master
2491	"[patch] ""manage.py startapp appname"" causes ""NameError: global name 'project_directory' is not defined"""	closed	adrian	defect	Core (Other)	master
2490	[patch] make runtests.py error messages more user friendly	closed	adrian	enhancement	Testing framework	master
2488	get_for_model building bad SQL	closed	adrian	defect	"Database layer (models, ORM)"	master
2484	[patch] num_in_admin=0 causes error on add via admin system	closed	adrian	defect	contrib.admin	master
2483	sqlite3 not processing paramaters?	closed	adrian	defect	"Database layer (models, ORM)"	master
2479	[patch] add sum() method to query set ( SELECT SUM( fieldname .... )	closed	adrian	enhancement	"Database layer (models, ORM)"	master
2476	"PREPEND_WWW setting in CommonMiddleware, but not REMOVE_WWW"	closed	adrian	enhancement	Tools	master
2474	{% ssi %} should take variable as argument	closed	nobody	enhancement	Template system	master
2471	[patch] date_based generic view doesn't work with DateField and sqlite	closed	nobody	defect	Generic views	master
2470	"unique_together and edit_inline causes error in admin, depending on uniqueness order"	closed	adrian	defect	contrib.admin	master
2469	manage.py sqlclear outputs illegal constraint names	closed	adrian	defect	Tools	master
2468	app_directory template loader expects redundant path	closed	adrian	defect	Template system	master
2467	[patch]  date_hierarchy in model is not checked for validity.	closed	adrian	defect	contrib.admin	master
2463	"[patch] ""'ManyToManyRel' object has no attribute 'get_related_field'"" error appears for all forms with M2M fields"	closed	adrian	defect	Core (Other)	master
2461	"[patch] manage.py:  Add support for IP, IP:PORT, or PORT command-line arguments"	closed	adrian	enhancement	Core (Management commands)	master
2460	datetime.datetime never gets processed in JSON serialization	closed	adrian	defect	Core (Other)	master
2454	[patch] for-loops reset state of inner ifchanged	closed	adrian	enhancement	Template system	master
2453	"[patch] Define order in which ""initial sql data"" files are processed"	closed	nobody	enhancement	Core (Other)	master
2450	Add ascending sort option to date_based generic views	closed	jacob	enhancement	Generic views	master
2446	[patch] Updated slovenian translation	closed	hugo	enhancement	Translations	master
2445	[patch] allow callable values for limit_choices_to	closed	Tim Graham <timograham@¡­>	New feature	Core (Other)	master
2444	"mange.py reset app fails, if initial sql data contains multiline fields with ; before eol"	closed	adrian	defect	Core (Management commands)	master
2443	Add IntervalField to database models	closed	mjtamlyn	New feature	"Database layer (models, ORM)"	master
2442	django.contrib.auth.forms.CreateUserForm	closed	adrian	enhancement	Contrib apps	master
2441	"[patch] Allow MultiValueDict update method to take keyword args, like dict"	closed	adrian	enhancement	contrib.admin	master
2440	Template Loader for PHP files (integrate django into existing PHP site)	closed	adrian	enhancement	Template system	master
2439	user_passes_test function does not work on python 2.3	closed	adrian	defect	Contrib apps	master
2438	django.db.models get_apps() return different results according to the server used	closed	nobody	Bug	Core (Other)	master
2437	[patch] Quick Copy to pastebin	closed	ekarulf	enhancement	Uncategorized	master
2436	packaging of doc-files into RPM	closed	adrian	enhancement	contrib.admin	master
2434	[patch] KeyError encountered when edit_inline objects using default AddManipulators with some fields equals False in FOLLOW	closed	nobody	defect	Core (Other)	master
